pais,nbillonarios,logpibpc,logpob,gatt
Kyrgyz Republic,0,6.8735714,15.486739,10
Uzbekistan,0,6.9306116,17.1225,0
Kazakhstan,6,9.046102,16.567514,0
China,42,8.143926,21.004417,7
"Macao SAR, China",0,10.61759,13.137307,13
Mongolia,0,7.6665983,14.783571,7
"Korea, Rep.",12,9.924738,17.706284,41
Japan,24,10.544774,18.665226,53
India,53,6.9456253,20.884247,60
Bhutan,0,7.505482,13.447571,0
Pakistan,0,6.9255114,18.933554,8
Bangladesh,0,6.428519,18.81252,36
Sri Lanka,0,7.607799,16.822035,45
Maldives,0,8.816983,12.656648,51
Nepal,0,6.169469,17.083155,16
Thailand,3,8.324768,18.007969,47
Cambodia,0,6.610127,16.45031,45
Lao PDR,0,6.7875714,15.630193,0
Vietnam,0,7.0601015,18.2596,1
Malaysia,8,9.0432005,17.122484,44
Singapore,5,10.58846,15.392302,47
Brunei Darussalam,0,10.521234,12.868804,15
Philippines,2,7.562884,18.319437,57
Indonesia,5,7.685805,19.271872,58
Timor-Leste,0,6.510797,13.847185,0
Australia,14,10.81746,16.87183,60
Papua New Guinea,0,7.1076117,15.695109,11
New Zealand,4,10.339201,15.266867,60
Vanuatu,0,7.899995,12.325623,0
Solomon Islands,0,7.096746,13.12942,14
Kiribati,0,7.2612705,11.459862,0
Tuvalu,0,8.037441,9.188912,0
Fiji,0,8.336895,13.645731,15
Tonga,0,8.102586,11.541969,1
Marshall Islands,0,7.9808435,10.8637,0
Palau,0,9.1938925,9.914824,0
"Micronesia, Fed. Sts.",0,7.824408,11.556923,0
Samoa,0,8.1243725,12.119665,15
"Hong Kong SAR, China",26,10.356964,15.755374,22
Puerto Rico,0,10.122557,15.14016,60
West Bank and Gaza,0,7.5258865,15.095524,0
